url,title,description,is_pdf,is_twitter
https://github.com/mikepapadim/llama-shepherd-cli,GitHub - mikepapadim/llama-shepherd-cli: A CLI to manage install and configure llama inference implemenation in multiple languages,A CLI to manage install and configure llama inference implemenation in multiple languages - GitHub - mikepapadim/llama-shepherd-cli: A CLI to manage install and configure llama inference implemenat...,False,False
https://people.inf.ethz.ch/wirth/ProjectOberon/PO.System.pdf,,,True,False
https://chrisnicholas.dev/blog/a-new-blog-for-2024,A new blog for 2024 | Chris Nicholas | Developer experience at Liveblocks,DX engineer at Liveblocks. Articles on developer experience and web engineering.,False,False
https://browse.arxiv.org/html/2312.08361v1,Distributed Inference and Fine-tuning of Large Language Models Over The Internet,,False,False
https://osanseviero.github.io/hackerllama/blog/posts/random_transformer/,hackerllama - The Random Transformer,Understand how transformers work by demystifying all the math behind them,False,False
https://github.com/html5-ninja/page-replica,"GitHub - html5-ninja/page-replica: Page Replica – Tool for Web Scraping, Prerendering, and SEO Boost","Page Replica – Tool for Web Scraping, Prerendering, and SEO Boost - GitHub - html5-ninja/page-replica: Page Replica – Tool for Web Scraping, Prerendering, and SEO Boost",False,False
https://thisisimportant.net/posts/content-as-a-graph/,Displaying content as a graph: An exploration | This is important,"Most web content is displayed as a strict hierarchy, tree-based or otherwise. What if it wasn't?An exploration into the advantages of graph-based content design, the numerous pitfalls, and a few case studies along the way.",False,False
https://t.co/DWZ1nTPCwb,[2311.09677] R-Tuning: Teaching Large Language Models to Refuse Unknown Questions,"Large language models (LLMs) have revolutionized numerous domains with their impressive performance but still face their challenges. A predominant issue is the propensity for these models to generate non-existent facts, a concern termed hallucination. Our research is motivated by the observation that previous instruction tuning methods force the model to complete a sentence no matter whether the model knows the knowledge or not. When the question is out of the parametric knowledge, it will try to make up something and fail to indicate when it lacks knowledge. In this paper, we present a new approach called Refusal-Aware Instruction Tuning (R-Tuning). This approach is formalized by first identifying the knowledge gap between parametric knowledge and the instruction tuning data. Then, we construct the refusal-aware data based on the knowledge intersection, to tune LLMs to refrain from responding to questions beyond its parametric knowledge. Experimental results demonstrate this new instruction tuning approach effectively improves a model's ability to answer known questions and refrain from answering unknown questions. Furthermore, when tested on out-of-domain datasets, the refusal ability was found to be a meta-skill that could be generalized to other tasks. Further analysis surprisingly finds that learning the uncertainty during training displays a better ability to estimate uncertainty than uncertainty-based testing. Our code will be released at https://github.com/shizhediao/R-Tuning.",False,False
https://x.com/shizhediao/status/1741120400992465338?s=51,,,False,True
https://airgrid.io>,,,"(False, 'Exception occurred: HTTPSConnectionPool(host=\'airgrid.io%3e\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x16851f6d0>: Failed to resolve \'airgrid.io%3e\' ([Errno 8] nodename nor servname provided, or not known)""))')",False
https://memex.garden/,Memex,Get access to the long term memory of your chat groups.,False,False
https://rsdoiel.github.io/blog/2023/03/10/first-prototype-pse.html,first-prototype-pse,,False,False
https://github.com/jasonjmcghee/rem,GitHub - jasonjmcghee/rem: An open source approach to locally record and enable searching everything you view on your Apple Silicon.,An open source approach to locally record and enable searching everything you view on your Apple Silicon. - GitHub - jasonjmcghee/rem: An open source approach to locally record and enable searching...,False,False
https://www.getinboxzero.com,Inbox Zero,"Clean your inbox in minutes. Inbox Zero is the quickest way to reach inbox zero, with our newsletter cleaner, AI automation, and email analytics.",False,False
https://norvig.com/ngrams/,Natural Language Corpus Data: Beautiful Data,,False,False
https://blot.im/how,How to use Blot - Blot,,False,False
https://link.springer.com/content/pdf/10.1007/s12671-016-0594-9.pdf,,,True,False
https://www.patterns.app/,Patterns Analytics,Generated by the time you've found your dashboard,False,False
https://github.com/Frooodle/Stirling-PDF,GitHub - Stirling-Tools/Stirling-PDF: locally hosted web application that allows you to perform various operations on PDF files,locally hosted web application that allows you to perform various operations on PDF files - GitHub - Stirling-Tools/Stirling-PDF: locally hosted web application that allows you to perform various o...,False,False
